Rk,Name,Team,Result,Date,Vs.,Pitch (MPH),EV (MPH),LA (deg),Dist (ft),gamePk,playId,Video_url,x/30 ballparks
1,"SuÃƒÆ’Ã†â€™Ãƒâ€šÃ‚Â¡rez, Eugenio",AZ,Home Run,3/27/2025,CHC,86.5,111.7,28,430,778552,1855d63e-c6bc-36bc-878b-f4ee7d5cde0f,https://baseballsavant.mlb.com/sporty-videos?playId=1855d63e-c6bc-36bc-878b-f4ee7d5cde0f,30
2,"Soderstrom, Tyler",ATH,Home Run,3/27/2025,SEA,89,111.4,21,362,778547,e1997a53-cd7e-3d4e-912c-ca3b3f908bf7,https://baseballsavant.mlb.com/sporty-videos?playId=e1997a53-cd7e-3d4e-912c-ca3b3f908bf7,16
3,"Arozarena, Randy",SEA,Home Run,3/27/2025,ATH,79.1,110.7,23,424,778547,1dc988cf-3c42-351d-b92e-b12f5fe4d593,https://baseballsavant.mlb.com/sporty-videos?playId=1dc988cf-3c42-351d-b92e-b12f5fe4d593,30
4,"Abreu, Wilyer",BOS,Home Run,3/27/2025,TEX,87.2,110.7,19,394,778553,8e2b47ea-1511-3e60-81fb-8027645b5412,https://baseballsavant.mlb.com/sporty-videos?playId=8e2b47ea-1511-3e60-81fb-8027645b5412,19
5,"O'Hoppe, Logan",LAA,Home Run,3/27/2025,CWS,86.7,109.6,34,417,778554,b19b9341-f2ab-39b4-ab04-2b39478be6be,https://baseballsavant.mlb.com/sporty-videos?playId=b19b9341-f2ab-39b4-ab04-2b39478be6be,30
6,"Happ, Ian",CHC,Home Run,3/27/2025,AZ,92.3,109.3,21,366,778552,2e35a17f-2795-3f78-bcd3-a22105e78839,https://baseballsavant.mlb.com/sporty-videos?playId=2e35a17f-2795-3f78-bcd3-a22105e78839,22
7,"Ohtani, Shohei",LAD,Home Run,3/27/2025,DET,95.8,108.9,25,391,778546,8b92e35d-708b-374b-a33d-e4edc6b6b085,https://baseballsavant.mlb.com/sporty-videos?playId=8b92e35d-708b-374b-a33d-e4edc6b6b085,30
8,"Soderstrom, Tyler",ATH,Home Run,3/27/2025,SEA,86.7,108.7,25,432,778547,30f7b32e-dee4-3320-86c4-35740414fd5b,https://baseballsavant.mlb.com/sporty-videos?playId=30f7b32e-dee4-3320-86c4-35740414fd5b,30
9,"Abreu, Wilyer",BOS,Home Run,3/27/2025,TEX,94.6,108.7,28,415,778553,ebbbc6e5-942f-381d-862c-96fd79317625,https://baseballsavant.mlb.com/sporty-videos?playId=ebbbc6e5-942f-381d-862c-96fd79317625,30
10,"Edman, Tommy",LAD,Home Run,3/27/2025,DET,95.7,108.6,21,401,778546,892af370-6556-3195-93ab-a8fdfee9f4ef,https://baseballsavant.mlb.com/sporty-videos?playId=892af370-6556-3195-93ab-a8fdfee9f4ef,30
11,"Torkelson, Spencer",DET,Home Run,3/27/2025,LAD,91.6,108.5,25,423,778546,4708c4f6-9e78-30e3-be18-24656923f9f7,https://baseballsavant.mlb.com/sporty-videos?playId=4708c4f6-9e78-30e3-be18-24656923f9f7,30
12,"Rutschman, Adley",BAL,Home Run,3/27/2025,TOR,95.7,108.5,27,415,778556,5fa1b280-165f-3e21-9d4f-c012be2d3c8c,https://baseballsavant.mlb.com/sporty-videos?playId=5fa1b280-165f-3e21-9d4f-c012be2d3c8c,30
13,"HernÃƒÆ’Ã†â€™Ãƒâ€šÃ‚Â¡ndez, Teoscar",LAD,Home Run,3/27/2025,DET,96.6,108.3,31,410,778546,785698db-bad9-30a8-8b4c-f8e9b0f42b88,https://baseballsavant.mlb.com/sporty-videos?playId=785698db-bad9-30a8-8b4c-f8e9b0f42b88,17
14,"Nootbaar, Lars",STL,Home Run,3/27/2025,MIN,89.4,108,26,414,778551,a5e2951d-9910-33a1-b73c-ad7b1fb4a475,https://baseballsavant.mlb.com/sporty-videos?playId=a5e2951d-9910-33a1-b73c-ad7b1fb4a475,30
15,"Harper, Bryce",PHI,Home Run,3/27/2025,WSH,96,107.2,28,415,778555,372e0c58-8f34-3071-9424-75531ebb1cd0,https://baseballsavant.mlb.com/sporty-videos?playId=372e0c58-8f34-3071-9424-75531ebb1cd0,25
16,"Manzardo, Kyle",CLE,Home Run,3/27/2025,KC,96.6,106.4,36,424,778558,86df7063-4b08-30ae-bb75-8683883372a8,https://baseballsavant.mlb.com/sporty-videos?playId=86df7063-4b08-30ae-bb75-8683883372a8,30
17,"O'Neill, Tyler",BAL,Home Run,3/27/2025,TOR,94.6,106.1,31,376,778556,b2ec9b44-81ca-3dd4-8cfb-6708c5d16ff2,https://baseballsavant.mlb.com/sporty-videos?playId=b2ec9b44-81ca-3dd4-8cfb-6708c5d16ff2,29
18,"Rutschman, Adley",BAL,Home Run,3/27/2025,TOR,87.9,105.8,31,436,778556,1cac46c0-e557-3ddd-96f8-3df4749d3b39,https://baseballsavant.mlb.com/sporty-videos?playId=1cac46c0-e557-3ddd-96f8-3df4749d3b39,30
19,"Slater, Austin",CWS,Home Run,3/27/2025,LAA,87.3,105.1,29,392,778554,9b983711-1134-34b4-be4d-f7685a9bdacc,https://baseballsavant.mlb.com/sporty-videos?playId=9b983711-1134-34b4-be4d-f7685a9bdacc,30
20,"Schwarber, Kyle",PHI,Home Run,3/27/2025,WSH,96.4,104.9,31,383,778555,e940bd0d-8e0a-33bd-a175-44c85d7b1bf8,https://baseballsavant.mlb.com/sporty-videos?playId=e940bd0d-8e0a-33bd-a175-44c85d7b1bf8,12
21,"Sosa, Lenyn",CWS,Home Run,3/27/2025,LAA,87,104.7,31,396,778554,2d22f9b5-e1f2-3a4b-b970-c70e593a35e2,https://baseballsavant.mlb.com/sporty-videos?playId=2d22f9b5-e1f2-3a4b-b970-c70e593a35e2,23
22,"Benintendi, Andrew",CWS,Home Run,3/27/2025,LAA,94.7,104.6,30,397,778554,8292559d-2dd0-3a7a-a1e8-0723a8d03e39,https://baseballsavant.mlb.com/sporty-videos?playId=8292559d-2dd0-3a7a-a1e8-0723a8d03e39,30
23,"Albies, Ozzie",ATL,Home Run,3/27/2025,SD,91.4,104.4,31,413,778545,38ed2195-edc7-368c-b123-84c4e8ad8e63,https://baseballsavant.mlb.com/sporty-videos?playId=38ed2195-edc7-368c-b123-84c4e8ad8e63,30
24,"Westburg, Jordan",BAL,Home Run,3/27/2025,TOR,84.6,104.3,24,406,778556,787bc920-17f2-32a8-bc01-820a478d9e43,https://baseballsavant.mlb.com/sporty-videos?playId=787bc920-17f2-32a8-bc01-820a478d9e43,18
25,"Pasquantino, Vinnie",KC,Home Run,3/27/2025,CLE,79,104.1,38,389,778558,3f2ebbd2-9d1e-358f-8ed1-dd3aa1ab1652,https://baseballsavant.mlb.com/sporty-videos?playId=3f2ebbd2-9d1e-358f-8ed1-dd3aa1ab1652,30
26,"Polanco, Jorge",SEA,Home Run,3/27/2025,ATH,94.7,104.1,28,413,778547,c434a12e-658d-3145-bd16-025d477ad17f,https://baseballsavant.mlb.com/sporty-videos?playId=c434a12e-658d-3145-bd16-025d477ad17f,22
27,"Capra, Vinny",MIL,Home Run,3/27/2025,NYY,94.6,103.9,25,370,778557,b8b24662-d138-3dd1-8df8-1f5d890cdea1,https://baseballsavant.mlb.com/sporty-videos?playId=b8b24662-d138-3dd1-8df8-1f5d890cdea1,29
28,"Volpe, Anthony",NYY,Home Run,3/27/2025,MIL,95.4,103.8,38,373,778557,39fbc46d-8888-333a-8cb3-9d04024a2410,https://baseballsavant.mlb.com/sporty-videos?playId=39fbc46d-8888-333a-8cb3-9d04024a2410,9
29,"Mullins, Cedric",BAL,Home Run,3/27/2025,TOR,86.2,103.7,30,388,778556,c4a14da2-e11a-3bd9-b8e5-652f8471d834,https://baseballsavant.mlb.com/sporty-videos?playId=c4a14da2-e11a-3bd9-b8e5-652f8471d834,28
30,"Wells, Austin",NYY,Home Run,3/27/2025,MIL,93.4,103.7,23,348,778557,d6b3cb80-0065-30c2-9fdc-83f17f114c6a,https://baseballsavant.mlb.com/sporty-videos?playId=d6b3cb80-0065-30c2-9fdc-83f17f114c6a,1
31,"Riley, Austin",ATL,Home Run,3/27/2025,SD,76,103,33,401,778545,3b0c02e2-04a0-3e7e-97a9-fdd23cf363e3,https://baseballsavant.mlb.com/sporty-videos?playId=3b0c02e2-04a0-3e7e-97a9-fdd23cf363e3,29
32,"Flores, Wilmer",SF,Home Run,3/27/2025,CIN,84.9,101.5,26,389,778561,e4b6df33-b5aa-3b7e-bbfb-4f7ec7a6103a,https://baseballsavant.mlb.com/sporty-videos?playId=e4b6df33-b5aa-3b7e-bbfb-4f7ec7a6103a,30
33,"Mullins, Cedric",BAL,Home Run,3/27/2025,TOR,93.2,101.4,29,383,778556,47982165-301e-3f11-8ea3-f5cc63196c92,https://baseballsavant.mlb.com/sporty-videos?playId=47982165-301e-3f11-8ea3-f5cc63196c92,25
34,"Bader, Harrison",MIN,Home Run,3/27/2025,STL,83.7,101.4,29,394,778551,edc3149c-ab96-3d1e-b4e2-d411959ad00e,https://baseballsavant.mlb.com/sporty-videos?playId=edc3149c-ab96-3d1e-b4e2-d411959ad00e,30
35,"Ramos, Heliot",SF,Home Run,3/27/2025,CIN,98.7,101.2,37,344,778561,ad17289a-326f-3045-958c-3cdc699ed728,https://baseballsavant.mlb.com/sporty-videos?playId=ad17289a-326f-3045-958c-3cdc699ed728,14
36,"Gonzales, Nick",PIT,Home Run,3/27/2025,MIA,94.3,101,23,374,778562,5d764782-edbd-370b-9627-b79807edf825,https://baseballsavant.mlb.com/sporty-videos?playId=5d764782-edbd-370b-9627-b79807edf825,23
37,"Sheets, Gavin",SD,Home Run,3/27/2025,ATL,93.5,99.4,30,405,778545,85c7e030-8c38-3994-adef-871f37c613cc,https://baseballsavant.mlb.com/sporty-videos?playId=85c7e030-8c38-3994-adef-871f37c613cc,5
38,"Arenado, Nolan",STL,Home Run,3/27/2025,MIN,97.9,99.3,30,376,778551,0ca9aceb-b4e3-3998-8157-a33ecccf0ec6,https://baseballsavant.mlb.com/sporty-videos?playId=0ca9aceb-b4e3-3998-8157-a33ecccf0ec6,28
